gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
SDHA,-0.018858101185837743,9.518089755260794,-0.4258110940808064,0.6708570748455703,0.8121243275929791,-6.128970079760516
CCL21,0.01971555709383655,9.53811581850022,0.42521156276956357,0.6712930595698503,0.8121243275929791,-6.11823952165166
APOA1,-0.019256512953588885,9.520286556478506,-0.42507550859579163,0.6713920149899331,0.8121243275929791,-6.1269765935693945
RIPK1,0.01853656142675197,9.509778654074525,0.4245820570714718,0.6717509622315734,0.8121243275929791,-6.144013944505809
HLA-DRB5,-0.02645216192184068,9.51014739586971,-0.42292408814651394,0.6729575579422458,0.8121243275929791,-6.171875367192224
CACNG4,-0.019577386631801762,9.44213834175815,-0.4228525002740563,0.673009675582497,0.8121243275929791,-6.106119650323933
IL13RA2,-0.018443592857264872,9.458769574068915,-0.422805952302146,0.6730435644424194,0.8121243275929791,-6.124676239996502
IRF3,-0.020318950357914756,9.500063995212075,-0.42054554383922854,0.674690041677738,0.8135704619434079,-6.1548051013192575
GZMM,-0.02840364478771381,9.459415203259464,-0.4172485644529065,0.677094376393795,0.8159279280233124,-6.081685895188323
SOX10,0.01469051925008544,9.526214850410506,0.4147476120602945,0.6789204263433098,0.8175458441486577,-6.149947167333893
EDN1,-0.018355466388236995,9.496116615258144,-0.41417692225706787,0.6793373782050245,0.8175458441486577,-6.134682417227595
IL1R1,0.018950191140251208,9.486643035059723,0.41021061087131877,0.682237938126603,0.8204927785681531,-6.1339557748573625
NTRK2,0.018624871395501303,9.500393624159209,0.40706917769393086,0.6845386377012186,0.8227148683424308,-6.150560214715729
NDUFA2,0.017547499879601747,9.47621690880319,0.4053068101899243,0.6858306448366785,0.8237225205181272,-6.112993798842374
JUNB,-0.019910316374203013,9.561290516124785,-0.4023376471734679,0.6880094622154416,0.8252723009843678,-6.173890000365172
TWF1,0.01871339284894276,9.462719259591166,0.4023098387238581,0.6880298808867471,0.8252723009843678,-6.12264772602932
