gene_symbol,sample,norm_exp
BLK,NMS22-13453,1.339848783037637
BLK,NMS22-28934,1.5354207180561734
BLK,NMS23-1947,1.3130231103232382
BLK,NMS23-471,1.3921691494897361
BLK,S08-25548,2.16220583117701
BLK,S10-479,3.0403609983563182
BLK,S14-11208,1.0610753236297918
BLK,S14-9996,1.759214431234244
BLK,S15-16380,1.2402995820027125
BLK,S17-4703,1.1156105116742998
BLK,S18-6943,2.405909570043918
BLM,NMS22-13453,2.02271698005103
BLM,NMS22-28934,2.19953578119834
BLM,NMS23-1947,2.123916943498132
BLM,NMS23-471,2.0346284566253203
BLM,S08-25548,1.6727441983065992
BLM,S10-479,2.098955060438469
BLM,S14-11208,1.9116369331294423
BLM,S14-9996,1.759214431234244
BLM,S15-16380,1.6173149332982937
BLM,S17-4703,1.7157527168228595
BLM,S18-6943,1.6594407818703176
BMP2,NMS22-13453,2.503245771465113
BMP2,NMS22-28934,3.1438918762376695
BMP2,NMS23-1947,2.6197401145823225
BMP2,NMS23-471,2.8879547038088016
BMP2,S08-25548,2.6136304349252404
BMP2,S10-479,2.752670618812808
BMP2,S14-11208,2.4788117089518154
BMP2,S14-9996,3.0959952947967775
BMP2,S15-16380,2.7476525842236437
BMP2,S17-4703,2.8775901659371503
BMP2,S18-6943,2.7802668936021475
BNIP3,NMS22-13453,2.11634203918834
BNIP3,NMS22-28934,2.488874906285025
BNIP3,NMS23-1947,3.0389538007918135
BNIP3,NMS23-471,2.320727726644173
BNIP3,S08-25548,2.746244871720198
BNIP3,S10-479,2.949263115564083
BNIP3,S14-11208,2.804507438100976
BNIP3,S14-9996,2.4933465003667186
BNIP3,S15-16380,2.7552191095387495
BNIP3,S17-4703,2.492075591227207
BNIP3,S18-6943,2.435350568908045
BNIP3L,NMS22-13453,2.9206554285200736
BNIP3L,NMS22-28934,3.129219258988712
BNIP3L,NMS23-1947,2.33963029007408
BNIP3L,NMS23-471,3.4402839406534205
BNIP3L,S08-25548,3.0492451652271044
BNIP3L,S10-479,2.336379672186969
BNIP3L,S14-11208,3.0302028877901597
BNIP3L,S14-9996,2.710675747434186
BNIP3L,S15-16380,3.137414250028547
BNIP3L,S17-4703,2.755150427678159
BNIP3L,S18-6943,2.8757440164182424
BRCA1,NMS22-13453,2.028855809390444
BRCA1,NMS22-28934,1.9352048674265814
BRCA1,NMS23-1947,2.035709837827862
BRCA1,NMS23-471,2.253580289562183
BRCA1,S08-25548,1.830460350030967
BRCA1,S10-479,2.098955060438469
BRCA1,S14-11208,1.9697419767628543
BRCA1,S14-9996,2.1736232576980816
BRCA1,S15-16380,1.9970804354717309
BRCA1,S17-4703,1.9167170775988125
BRCA1,S18-6943,1.972573080926555
BRCA2,NMS22-13453,2.321701969500738
BRCA2,NMS22-28934,2.3994314179340583
BRCA2,NMS23-1947,2.6068111469189637
BRCA2,NMS23-471,2.614116471181783
BRCA2,S08-25548,2.2198202071472375
BRCA2,S10-479,2.383582004606484
BRCA2,S14-11208,2.3571340930864344
BRCA2,S14-9996,2.4556821645007902
BRCA2,S15-16380,2.263541389171578
BRCA2,S17-4703,2.0535777871252825
BRCA2,S18-6943,2.279507247601757
BRD3,NMS22-13453,3.156975967484768
BRD3,NMS22-28934,3.0530746001524145
BRD3,NMS23-1947,3.5016616504740847
BRD3,NMS23-471,2.9104216156556926
BRD3,S08-25548,3.0567028955488933
BRD3,S10-479,3.3411950524974903
BRD3,S14-11208,2.9532763366673045
BRD3,S14-9996,3.074168903232727
BRD3,S15-16380,3.1970930127175414
BRD3,S17-4703,3.0724594557298777
BRD3,S18-6943,3.120889666939061
BRD4,NMS22-13453,3.1422924586792806
BRD4,NMS22-28934,3.131005600779044
BRD4,NMS23-1947,3.413313178375454
BRD4,NMS23-471,3.082102884327094
BRD4,S08-25548,3.372759236944006
BRD4,S10-479,3.5139177681745295
BRD4,S14-11208,3.3684282168520316
BRD4,S14-9996,3.3685063016231935
BRD4,S15-16380,3.3429277478736394
BRD4,S17-4703,3.3489548443806676
BRD4,S18-6943,3.3370517318708397
BRIP1,NMS22-13453,2.126131407261984
BRIP1,NMS22-28934,2.1787467965289578
BRIP1,NMS23-1947,2.450495446659433
BRIP1,NMS23-471,2.4983105537896004
BRIP1,S08-25548,2.0070219255786808
BRIP1,S10-479,2.336379672186969
BRIP1,S14-11208,2.4887903583648545
BRIP1,S14-9996,2.2874209957598315
BRIP1,S15-16380,2.171726453653231
BRIP1,S17-4703,2.107040290223204
BRIP1,S18-6943,1.9291633832050645
BTLA,NMS22-13453,1.467312062980552
BTLA,NMS22-28934,1.458788881710845
BTLA,NMS23-1947,0.8715729355458788
BTLA,NMS23-471,1.5126843962171637
BTLA,S08-25548,1.7981670597159392
BTLA,S10-479,1.1017470739463662
BTLA,S14-11208,0.9025467793139914
BTLA,S14-9996,1.3895204658463773
BTLA,S15-16380,0.9670797341444971
BTLA,S17-4703,1.0588054866759067
BTLA,S18-6943,2.2586372827240764
